f0_energy,f1_energy,bit
0.00828673,0.00315813,0
0.00303647,0.00581662,1
0.00623049,0.00280435,0
0.00984097,0.00567905,0
0.026154,0.00774972,0
0.0118213,0.00757733,0
0.0220254,0.0140458,0
0.0298331,0.0113573,0
0.009998,0.00535023,0
0.00733492,0.00356707,0
0.0190259,0.00332285,0
0.0353005,0.0118165,0
0.0151186,0.00420247,0
0.00555895,0.00244269,0
0.028727,0.0148388,0
0.00912002,0.010329,1
0.00553963,0.00267585,0
0.0285354,0.0113524,0
0.0341382,0.0252058,0
0.0338072,0.0159781,0
0.00319525,0.000106227,0
0.00904235,0.00262988,0
0.041169,0.0189683,0
0.0390508,0.0170834,0
0.0160006,0.00529357,0
0.00132012,0.00492974,1
0.0109361,0.00312245,0
0.0150189,0.00665109,0
0.00597493,0.0111821,1
0.0145047,0.00544321,0
0.0104122,0.0044531,0
0.0118663,0.00520514,0
0.0105695,0.00858885,0
0.0171971,0.00244828,0
0.0158697,0.00525715,0
0.0063267,0.0092583,1
0.0103389,0.00237939,0
0.0209641,0.0116371,0
0.038793,0.0166252,0
0.0414521,0.0216359,0
0.0146015,0.0112517,0
0.0182823,0.00197327,0
0.00893632,0.00232581,0
0.00742753,0.000851548,0
0.0333991,0.0178134,0
0.020092,0.0146157,0
0.0103,0.0090176,0
0.00942197,0.00566605,0
0.00219512,0.00525469,1
0.0172615,0.0137423,0
0.0155527,0.0115517,0
0.0278239,0.0104823,0
0.0202027,0.0110703,0
0.00907263,0.00533775,0
0.0162333,0.0074614,0
0.015159,0.00230922,0
0.0199579,0.00848789,0
0.00678185,0.00151343,0
0.0174273,0.0145026,0
0.00251492,0.001257,0
0.0282619,0.0174133,0
0.0267399,0.0146477,0
0.0102884,0.00251893,0
0.00402249,0.00318753,0
0.0208504,0.00625007,0
0.0261781,0.0136384,0
0.0220632,0.0156928,0
0.0179451,0.0124776,0
0.0191265,0.00750332,0
0.0370808,0.0207623,0
0.0371768,0.0146175,0
0.0203185,0.00445893,0
0.0111368,0.00781161,0
0.0292138,0.0116052,0
0.0399011,0.0084957,0
0.344816,0.092309,0
0.378506,0.0703633,0
0.616779,0.0856351,0
0.569589,0.154062,0
0.129717,0.282437,1
0.308616,0.402441,1
0.228553,0.334866,1
0.0808427,0.294792,1
0.0230109,0.419266,1
0.791163,0.319891,0
0.449468,0.111357,0
1.68585,0.456613,0
1.79778,0.315312,0
1.98486,0.468075,0
1.60356,0.927329,0
1.52709,1.08551,0
0.321981,0.64763,1
0.734447,0.88134,1
0.928617,0.40274,0
1.4282,0.639298,0
1.67775,1.09876,0
1.99373,0.922731,0
1.16099,1.13779,0
1.08931,0.917799,0
0.261754,0.486254,1
0.836606,0.70848,0
0.719252,0.631337,0
1.34355,0.892827,0
1.60526,1.22066,0
2.05022,0.945305,0
0.967111,0.979465,1
0.858906,0.72997,0
0.274878,0.590208,1
0.829573,0.81784,0
0.789987,0.941897,1
1.52842,1.27621,0
1.99859,1.51035,0
2.25248,1.01132,0
1.28677,0.982997,0
0.916689,0.681644,0
0.281837,0.53822,1
0.725703,0.865077,1
1.03257,1.13872,1
1.75782,1.47305,0
1.96512,1.38547,0
2.38689,0.902337,0
0.957944,0.641962,0
0.760717,0.521448,0
0.179941,0.428891,1
0.702257,0.670768,0
1.15161,0.967254,0
1.98989,1.30079,0
2.08139,1.2511,0
2.35208,0.688478,0
0.985588,0.552533,0
0.770406,0.601747,0
0.0631982,0.40286,1
0.563288,0.555891,0
1.30874,0.871914,0
2.15738,1.14595,0
1.89013,0.974434,0
2.18482,0.490221,0
0.825801,0.624929,0
0.996384,0.798831,0
0.104542,0.507285,1
0.525246,0.463979,0
1.41507,0.710151,0
2.20072,0.87369,0
1.685,0.669144,0
1.91057,0.388201,0
0.867452,0.854731,0
1.13769,0.996097,0
0.12251,0.638291,1
0.492232,0.45839,0
1.22545,0.46739,0
2.08582,0.607507,0
1.50261,0.587706,0
1.73851,0.566129,0
0.974123,1.05821,1
1.19475,1.12453,0
0.217021,0.717527,1
0.566517,0.569869,1
1.0901,0.354451,0
1.86409,0.443346,0
1.43902,0.775848,0
1.82686,0.803358,0
1.11928,1.23353,1
1.33069,1.21128,0
0.264722,0.760495,1
0.645285,0.738842,1
0.864124,0.50916,0
1.56743,0.674514,0
1.64001,1.09758,0
2.08825,1.00856,0
1.27824,1.27511,0
1.38418,1.16647,0
0.288308,0.75715,1
0.722525,0.833851,1
0.82665,0.700164,0
1.47514,0.927771,0
1.88346,1.30833,0
2.39619,1.10185,0
1.33786,1.20197,0
1.28861,1.00223,0
0.293719,0.653441,1
0.723836,0.848288,1
0.923942,0.857929,0
1.5483,1.14455,0
2.09434,1.42452,0
2.60333,1.08607,0
1.30791,1.00088,0
1.12937,0.764367,0
0.281394,0.514024,1
0.678957,0.82277,1
1.16627,0.982463,0
1.82176,1.29337,0
2.27686,1.44095,0
2.71721,0.970304,0
1.21667,0.750386,0
0.929013,0.538131,0
0.249003,0.399604,1
0.602655,0.716308,1
1.42113,1.02139,0
2.11966,1.30168,0
2.26033,1.28232,0
2.63889,0.765358,0
1.07494,0.535714,0
0.798708,0.517026,0
0.21832,0.379101,1
0.575485,0.548368,0
1.49211,0.907322,0
2.328,1.18175,0
2.11469,1.02815,0
2.39702,0.522452,0
0.98493,0.539829,0
0.834791,0.672728,0
0.286131,0.439721,1
0.554181,0.428176,0
1.49121,0.704043,0
2.37674,0.93955,0
1.90975,0.726556,0
2.13788,0.355897,0
0.930737,0.751126,0
0.958009,0.896352,0
0.353462,0.554961,1
0.62923,0.405295,0
1.41994,0.489538,0
2.28761,0.638935,0
1.67166,0.551651,0
1.88563,0.460911,0
0.978521,0.980603,1
1.09379,1.06092,0
0.40997,0.640192,1
0.740797,0.501495,0
1.23983,0.324442,0
2.02658,0.430434,0
1.49736,0.683132,0
1.81332,0.700418,0
1.07349,1.15153,1
1.22675,1.1491,0
0.404829,0.70297,1
0.862928,0.627968,0
1.02165,0.380953,0
1.75914,0.553131,0
1.56659,0.978617,0
1.98406,0.898276,0
1.16147,1.19694,1
1.22852,1.09609,0
0.405462,0.689577,1
0.880688,0.747786,0
0.87485,0.582858,0
1.54188,0.814309,0
1.74321,1.21621,0
2.25553,1.02031,0
1.24027,1.15265,0
1.13493,0.954757,0
0.384655,0.608411,1
0.853386,0.796052,0
0.920504,0.809628,0
1.56438,1.08221,0
2.03295,1.38551,0
2.54959,1.05596,0
1.26478,0.995371,0
1.02479,0.752422,0
0.335285,0.506106,1
0.768442,0.795378,1
1.17221,0.973217,0
1.83726,1.26638,0
2.25179,1.42044,0
2.72957,0.986193,0
1.25358,0.783074,0
0.896082,0.55363,0
0.29677,0.399773,1
0.697625,0.704925,1
1.39878,1.00285,0
2.16178,1.31386,0
2.32273,1.31143,0
2.68948,0.796321,0
1.12825,0.555356,0
0.776718,0.479867,0
0.287785,0.35063,1
0.630691,0.561951,0
1.49909,0.909666,0
2.34216,1.19609,0
2.20261,1.07999,0
2.4969,0.557675,0
0.992532,0.50347,0
0.774118,0.623477,0
0.332828,0.393868,1
0.614685,0.435597,0
1.55262,0.755184,0
2.41104,0.984577,0
1.99623,0.789558,0
2.2164,0.366728,0
0.938739,0.674758,0
0.885042,0.843279,0
0.358888,0.519056,1
0.659536,0.387839,0
1.47857,0.542707,0
2.33717,0.70429,0
1.72108,0.567259,0
1.9334,0.412944,0
0.946101,0.914355,0
1.0694,1.04088,0
0.358453,0.645008,1
0.736657,0.477664,0
1.31007,0.35045,0
2.1,0.452131,0
1.5272,0.641252,0
1.81255,0.641658,0
1.02604,1.09338,1
1.17507,1.11534,0
0.399429,0.697769,1
0.80923,0.620704,0
1.07017,0.351114,0
1.82359,0.485453,0
1.52183,0.904164,0
1.93631,0.873281,0
1.15825,1.19091,1
1.20939,1.09991,0
0.407045,0.691079,1
0.844876,0.750758,0
0.89964,0.575469,0
1.57687,0.775346,0
1.71558,1.185,0
2.22756,1.02428,0
1.26146,1.18293,0
1.18297,0.998876,0
0.37525,0.633515,1
0.842206,0.810379,0
0.921797,0.793565,0
1.56488,1.0588,0
2.01084,1.39009,0
2.53393,1.08202,0
1.28517,1.05553,0
1.04593,0.794631,0
0.356071,0.520646,1
0.820504,0.778592,0
1.07867,0.923634,0
1.79181,1.24815,0
2.22799,1.4344,0
2.68895,1.00427,0
1.24328,0.827877,0
0.932561,0.591679,0
0.31416,0.417886,1
0.734814,0.711511,0
1.29615,0.973182,0
2.09153,1.3116,0
2.32411,1.35267,0
2.72843,0.855858,0
1.1704,0.600201,0
0.803214,0.47167,0
0.313762,0.345449,1
0.652113,0.606945,0
1.52122,0.945443,0
2.33092,1.23154,0
2.25932,1.14319,0
2.56692,0.614359,0
1.05245,0.491969,0
0.763929,0.582953,0
0.361936,0.374895,1
0.64102,0.462975,0
1.59498,0.803421,0
2.45073,1.03845,0
2.03354,0.842923,0
2.26318,0.393663,0
0.95298,0.643966,0
0.859798,0.811719,0
0.327893,0.523101,1
0.634067,0.398789,0
1.49747,0.580107,0
2.34443,0.741391,0
1.74437,0.588964,0
1.9653,0.397201,0
0.947337,0.881438,0
1.03709,1.01255,0
0.362429,0.632605,1
0.698221,0.477766,0
1.325,0.366843,0
2.15359,0.484384,0
1.54971,0.597038,0
1.8106,0.603654,0
1.02426,1.08558,1
1.14241,1.10118,0
0.438322,0.670763,1
0.807175,0.591166,0
1.11963,0.336383,0
1.86979,0.468018,0
1.48268,0.843494,0
1.88501,0.822199,0
1.12964,1.18814,1
1.20904,1.12219,0
0.409688,0.690926,1
0.879218,0.704533,0
0.915069,0.519179,0
1.60587,0.72557,0
1.67585,1.13669,0
2.15647,0.997539,0
1.23943,1.1886,0
1.20436,1.01698,0
0.3862,0.644568,1
0.861907,0.80003,0
0.884481,0.750034,0
1.541,1.01885,0
1.98672,1.36827,0
2.48108,1.07893,0
1.29664,1.07663,0
1.09689,0.840755,0
0.342864,0.54137,1
0.816739,0.791215,0
1.03419,0.885943,0
1.71231,1.20144,0
2.19571,1.4314,0
2.67358,1.02412,0
1.24594,0.85981,0
0.938203,0.609399,0
0.297506,0.428517,1
0.737524,0.733183,0
1.2856,0.976643,0
2.01624,1.29475,0
2.30262,1.36986,0
2.74265,0.884599,0
1.21737,0.635495,0
0.815963,0.476591,0
0.276578,0.354322,1
0.653546,0.618211,0
1.4759,0.957766,0
2.28462,1.25299,0
2.24366,1.17145,0
2.55599,0.63872,0
1.08401,0.486073,0
0.756396,0.540781,0
0.325021,0.371461,1
0.614283,0.480318,0
1.57538,0.843749,0
2.44798,1.09959,0
2.10263,0.914378,0
2.32928,0.415347,0
0.972897,0.590834,0
0.829606,0.740032,0
0.350217,0.481306,1
0.622271,0.399171,0
1.51775,0.630607,0
2.40245,0.826498,0
1.81804,0.632591,0
2.01476,0.363257,0
0.941522,0.834479,0
0.983676,0.964527,0
0.397459,0.580942,1
0.730184,0.430838,0
1.3603,0.403032,0
2.20269,0.525834,0
1.58676,0.566986,0
1.82101,0.544417,0
1.00262,1.04034,1
1.1499,1.10702,0
0.421106,0.672719,1
0.813934,0.551726,0
1.16502,0.317929,0
1.90919,0.444038,0
1.50446,0.821013,0
1.87104,0.798986,0
1.11515,1.17018,1
1.24236,1.13591,0
0.394501,0.710877,1
0.827904,0.693283,0
0.957144,0.47176,0
1.63379,0.669317,0
1.65046,1.11482,0
2.12507,0.987641,0
1.24074,1.20311,0
1.22287,1.05364,0
0.387773,0.667857,1
0.850786,0.788678,0
0.875171,0.704478,0
1.52911,0.950005,0
1.90707,1.3316,0
2.43791,1.07966,0
1.28352,1.09906,0
1.10121,0.863896,0
0.359206,0.562362,1
0.81573,0.806216,0
1.02331,0.889834,0
1.66457,1.18432,0
2.14356,1.43034,0
2.65677,1.06033,0
1.29838,0.931629,0
0.988037,0.662953,0
0.312271,0.440779,1
0.771345,0.750343,0
1.25034,0.980669,0
1.97228,1.29274,0
2.26765,1.37656,0
2.70447,0.90633,0
1.21839,0.686487,0
0.850973,0.493372,0
0.30107,0.361762,1
0.663855,0.644571,0
1.45525,0.965181,0
2.25193,1.27217,0
2.27959,1.22056,0
2.61117,0.694055,0
1.08179,0.502867,0
0.75699,0.519038,0
0.31489,0.36085,1
0.620867,0.501082,0
1.55433,0.845657,0
2.39764,1.11441,0
2.14626,0.961124,0
2.3792,0.461663,0
0.974972,0.571152,0
0.818378,0.731341,0
0.329618,0.463122,1
0.622342,0.397782,0
1.53188,0.649798,0
2.38973,0.861765,0
1.88418,0.671699,0
2.0984,0.347704,0
0.938963,0.783598,0
0.972714,0.948479,0
0.352675,0.593778,1
0.693997,0.416083,0
1.41729,0.440685,0
2.25237,0.569224,0
1.6176,0.5571,0
1.84672,0.515598,0
0.990538,1.01577,1
1.11822,1.08147,0
0.396761,0.678051,1
0.742824,0.557971,0
1.19133,0.312265,0
1.98067,0.424928,0
1.50221,0.754595,0
1.84867,0.770886,0
1.1099,1.17805,1
1.19971,1.12925,0
0.405203,0.702669,1
0.786529,0.692421,0
0.973852,0.450984,0
1.68933,0.60827,0
1.59637,1.03261,0
2.04028,0.945656,0
1.19084,1.19697,1
1.18831,1.05936,0
0.426929,0.642814,1
0.881064,0.740389,0
0.868335,0.630546,0
1.52215,0.872419,0
1.80854,1.25103,0
2.32915,1.02976,0
1.26644,1.11246,0
1.10996,0.897619,0
0.384198,0.558508,1
0.86777,0.758172,0
0.93865,0.814476,0
1.62515,1.12544,0
2.07315,1.39399,0
2.56628,1.02364,0
1.24715,0.938528,0
1.01013,0.700675,0
0.321714,0.472794,1
0.759512,0.751099,0
1.18611,0.948891,0
1.91439,1.2824,0
2.30508,1.41801,0
2.70832,0.947554,0
1.23539,0.719593,0
0.863395,0.50827,0
0.305901,0.370079,1
0.672739,0.66891,0
1.44497,0.97356,0
2.19138,1.27154,0
2.30061,1.26186,0
2.66251,0.748551,0
1.11611,0.521272,0
0.76515,0.496446,0
0.297028,0.351845,1
0.621587,0.522369,0
1.57351,0.895598,0
2.41198,1.15694,0
2.15827,1.00956,0
2.43541,0.498608,0
1.0109,0.525048,0
0.799938,0.686609,0
0.324944,0.448528,1
0.609823,0.404269,0
1.57988,0.712216,0
2.42892,0.927014,0
1.91737,0.714193,0
2.13001,0.348315,0
0.950028,0.717763,0
0.91691,0.880766,0
0.363782,0.557242,1
0.645711,0.408181,0
1.42496,0.48019,0
2.29289,0.633567,0
1.66733,0.55037,0
1.87762,0.465956,0
0.968885,0.962619,0
