goertzel_f0,goertzel_f1,matched_corr_f0,matched_corr_f1,iq_mag_f0,iq_mag_f1,final_bit,confidence
0.0329259,0.0187952,-0.00547363,-0.00651733,0.00679735,0.00657019,0,1
0.0235627,0.0134179,-0.000763435,0.00191852,0.00303062,0.00266216,1,0.67
0.00251608,0.00464351,-0.0264442,-0.0167757,0.0267298,0.0184971,1,0.67
0.0130363,0.00326571,0.0200389,0.00409328,0.0200856,0.00467559,0,1
0.0149998,0.00668906,0.0240885,0.00584581,0.0263439,0.00662723,0,1
0.0314522,0.0136692,0.0021334,-0.000332594,0.00321342,0.00254929,0,1
0.0163212,0.00285502,-0.0249491,-0.0240948,0.0249675,0.0243687,1,0.67
0.0301803,0.0134622,0.00147342,-0.000526963,0.00450931,0.00439507,0,1
0.0255461,0.0106006,0.0146667,0.00124795,0.0147149,0.00271518,0,1
0.00424235,0.00133222,0.0201146,0.00622717,0.0264342,0.00752507,0,1
0.0129864,0.00791151,-0.0205173,-0.00891713,0.021906,0.00960816,1,0.67
0.00302059,0.00624781,-0.0110847,-0.00506802,0.0123092,0.00508561,1,0.67
0.0237508,0.011933,-0.0167134,-0.00700208,0.0169003,0.00830184,1,0.67
0.0166855,0.00701473,0.0181875,0.00560301,0.0183136,0.00560614,0,1
0.0197035,0.0067339,0.0173595,0.01219,0.0174804,0.0140955,0,1
0.0207505,0.00855334,-0.0148404,-0.00360482,0.0148432,0.00362586,1,0.67
0.012248,0.0094332,-0.0258963,-0.0100581,0.0275215,0.0111522,1,0.67
0.0418795,0.0278534,-0.00509789,-0.00664864,0.00763648,0.00670142,0,1
0.0205371,0.0163802,0.0401828,0.0181103,0.0401832,0.0188563,0,1
0.00652268,0.00543809,0.0183783,0.00439412,0.0203122,0.00442913,0,1
0.0154929,0.00959724,-0.00333363,-0.0104787,0.00618574,0.0108722,0,0.67
0.016809,0.00251677,-0.0165196,-0.00967393,0.017744,0.0112328,1,0.67
0.0263057,0.00872751,0.00487725,-0.000336384,0.00644009,0.00692379,0,0.67
0.00693866,0.0031551,0.0223939,0.00835002,0.022394,0.00862085,0,1
0.0213561,0.0184589,0.022794,0.0115505,0.0281443,0.0116344,0,1
0.00905524,0.0095951,-0.0355442,-0.0116359,0.0357245,0.0127462,1,0.67
0.00908178,0.00889009,0.00832774,0.00530131,0.00931961,0.00533956,0,1
0.0132469,0.0136249,-0.0124485,-0.00694859,0.0130025,0.00696387,1,0.67
0.00161203,0.00014556,0.0332789,0.0153733,0.0333284,0.0159402,0,1
0.0256219,0.0204422,0.00199688,0.00307317,0.00979333,0.00388772,1,0.67
0.0319916,0.0156109,-0.00249054,-0.00250987,0.00283237,0.00313553,0,0.67
0.00848363,0.00381466,-0.0382802,-0.0136431,0.038292,0.0138168,1,0.67
0.0225676,0.0151922,0.012685,0.00627569,0.0128393,0.00712302,0,1
0.010384,0.00240651,0.0020028,0.00531251,0.00887896,0.00531875,1,0.67
0.0331965,0.0177911,0.0311087,0.0137349,0.0319611,0.0156304,0,1
0.0343422,0.0173622,-0.0487807,-0.0215886,0.0490048,0.0215889,1,0.67
0.0042997,0.00165283,-0.00776443,-0.00401154,0.00814,0.00441414,1,0.67
0.0172247,0.00896839,-0.0104889,-0.00448674,0.0129527,0.00454638,1,0.67
0.0115352,0.00440778,0.0296432,0.0166987,0.0297306,0.0176447,0,1
0.0363803,0.0170267,-0.0171408,-0.00670155,0.0200915,0.00757164,1,0.67
0.0105291,0.010416,0.00436238,0.000145799,0.00442792,0.00262624,0,1
0.00283306,0.00470627,-0.0270121,-0.00970121,0.0270716,0.00970482,1,0.67
0.0024095,0.000812223,0.0237165,0.0123165,0.0241968,0.0126185,0,1
0.0222379,0.00947276,-0.0033143,-0.00050904,0.00347046,0.00432291,1,0.67
0.0355605,0.0204768,0.00903081,0.00369246,0.00954842,0.00430998,0,1
0.00447094,0.00533026,-0.0441278,-0.016585,0.0441355,0.0170558,1,0.67
0.0129213,0.0119538,0.00526904,0.00134021,0.0124422,0.00254469,0,1
0.0131016,0.00496692,0.00376193,0.00352791,0.00532348,0.00404935,0,1
0.0218738,0.0107493,0.0337136,0.016599,0.0339971,0.016883,0,1
0.033382,0.0154764,-0.0187177,-0.00847885,0.0204305,0.00863239,1,0.67
0.000871568,0.00193608,-0.0224172,-0.0072852,0.0224377,0.0078971,1,0.67
0.016202,0.0146085,-0.0149447,-0.00553593,0.0149734,0.00586514,1,0.67
0.00902772,0.00518295,0.0277274,0.0127997,0.0284206,0.0134916,0,1
0.0217445,0.0105164,0.00168059,0.000771415,0.0100431,0.00598315,0,1
0.0339447,0.0152871,-0.00977631,-0.00128596,0.0124511,0.00206963,1,0.67
0.00261111,0.00499372,-0.039245,-0.0187023,0.0397379,0.020073,1,0.67
0.0130555,0.00849067,0.00576898,0.00562107,0.0128466,0.00563425,0,1
0.00448802,0.00411119,0.000927247,-0.00194454,0.00677554,0.00483823,0,1
0.0182389,0.00959755,0.0247071,0.0111904,0.0250395,0.0114865,0,1
0.0287756,0.0146765,-0.00992021,-0.00482292,0.010082,0.004825,1,0.67
0.00565679,0.00177256,-0.0174723,-0.0102318,0.0219695,0.0112244,1,0.67
0.0180188,0.00801848,-0.00186764,-0.00347906,0.00336144,0.00466031,0,0.67
0.00640476,0.00513227,0.0288016,0.0112814,0.0288023,0.0116114,0,1
0.0360016,0.0177871,0.0228264,0.00691713,0.0250687,0.00843542,0,1
0.0340562,0.0221877,-0.0191843,-0.00688021,0.0193137,0.00721821,1,0.67
0.00507891,0.00562297,-0.044512,-0.0182829,0.0446371,0.0183567,1,0.67
0.0329569,0.0181248,-0.00224039,0.00547243,0.00436077,0.00553221,1,0.67
0.0132316,0.00597473,0.00585974,0.0130142,0.00650547,0.0136165,1,0.67
0.0224795,0.00999367,0.00924871,0.00867272,0.0110208,0.0101251,0,1
0.0331588,0.0172962,-0.00606704,-0.00366141,0.00608921,0.00385294,1,0.67
0.00812289,0.00535738,-0.0200968,-0.0117653,0.0204135,0.0118665,1,0.67
0.00458799,0.00194918,0.00056673,0.0021495,0.00170476,0.00279228,1,0.67
0.0184859,0.00872664,0.00372287,0.0049586,0.0135008,0.00496935,1,0.67
0.0424062,0.0198922,0.01812,0.0120006,0.0181201,0.0127492,0,1
0.0263005,0.0125659,-0.0269968,-0.013086,0.0277778,0.0131211,1,0.67
0.275511,0.064049,-0.461423,-0.0533932,0.66661,0.115495,1,0.67
0.342103,0.0698676,0.547317,0.0420636,1.67881,0.146323,0,1
0.202599,0.0552793,0.377099,-0.00759499,0.383634,0.0157853,0,1
0.451307,0.167976,0.785649,0.286472,1.00159,0.289811,0,1
0.200416,0.257499,-0.468137,-0.0927683,0.583278,0.278306,1,0.67
0.314567,0.336408,-0.240574,-0.0383421,0.257859,0.291637,1,1
0.101597,0.181656,-0.213567,0.144042,0.46226,0.165489,1,0.67
0.0770778,0.207607,-0.0566718,0.060488,0.127913,0.202527,1,1
0.22377,0.412838,0.0960095,0.0232139,0.110822,0.290727,0,0.67
0.752636,0.468911,0.185702,-0.0473317,1.31278,0.237472,0,1
0.253176,0.0621914,1.08804,0.437842,2.72054,0.449803,0,1
1.33087,0.244223,-1.27617,0.0373283,1.69308,0.0699493,1,0.67
0.904217,0.137546,-2.72113,-0.1569,2.72146,0.170185,1,0.67
1.07492,0.282235,-1.71795,0.0351692,2.19457,0.0730905,1,0.67
0.887314,0.187027,-1.5785,0.00977694,1.96617,0.0687894,1,0.67
0.727801,0.510107,0.106858,-0.178899,1.36236,0.376293,0,1
0.536036,0.49742,1.53407,0.325137,1.59951,0.682876,0,1
0.420042,0.731458,0.894556,0.529989,0.947206,0.964074,0,0.67
0.695966,0.724142,0.396839,0.617723,0.898472,0.989187,1,1
0.534541,0.550258,-0.44429,0.395394,0.601205,0.772054,1,1
1.26549,0.332797,-1.60232,0.464595,1.96195,0.597506,1,0.67
1.5279,0.291352,-3.08165,-0.177965,3.08195,0.35665,1,0.67
1.28473,0.388705,-2.69043,-0.356546,2.80324,0.373699,1,0.67
0.91184,0.303293,-1.86193,-0.488237,2.16435,0.507109,1,0.67
0.616647,0.256157,-1.19138,-0.195925,1.30925,0.260957,1,0.67
0.158996,0.1975,0.122855,-0.285978,0.823896,0.4623,0,0.67
0.427126,0.345968,1.14018,0.314715,1.1552,0.543258,0,1
0.671256,0.358195,1.07215,0.564824,1.3571,0.769101,0,1
0.974889,0.601818,0.16226,0.652661,1.22525,0.851035,1,0.67
0.6309,0.486195,-0.394578,0.40314,0.723552,0.662286,1,0.67
0.93523,0.528115,-1.76719,0.492797,1.80495,0.581893,1,0.67
1.21247,0.545781,-2.46825,0.0327316,2.66739,0.490544,1,0.67
1.23101,0.709476,-2.20431,-0.203221,2.73528,0.49694,1,0.67
1.14525,0.596868,-1.1528,-0.271086,2.20696,0.649355,1,0.67
0.927048,0.618031,-0.557013,0.0550685,1.5769,0.503152,1,0.67
0.332173,0.478502,1.15651,0.0509145,1.48722,0.780551,0,0.67
0.651424,0.369231,1.55496,0.54852,1.6645,0.689511,0,1
0.886758,0.411549,1.17851,0.830204,1.65939,0.891396,0,1
0.748796,0.497026,0.0822062,0.856179,1.23581,0.856538,1,0.67
0.460237,0.330229,-0.0614987,0.618748,0.505804,0.628592,1,0.67
0.93011,0.309464,-1.81227,0.480554,1.82345,0.605204,1,0.67
1.38251,0.559792,-1.63216,0.140933,2.57376,0.195801,1,0.67
1.56415,0.713854,-0.952552,-0.112042,2.67862,0.307999,1,0.67
1.42117,0.608734,-0.0391159,-0.185142,2.01035,0.53741,0,1
0.980313,0.63336,0.0119904,0.0359377,1.36087,0.36179,1,0.67
0.339205,0.397114,1.50935,0.338664,1.55362,0.869768,0,0.67
0.839212,0.194636,1.10004,0.446737,1.62042,0.475908,0,1
0.950559,0.419151,0.571547,0.760296,1.55011,0.762152,1,0.67
0.723136,0.440555,-0.473977,0.72583,1.19502,0.838128,1,0.67
0.245351,0.31975,-0.155942,0.509416,0.273434,0.569997,1,1
1.30509,0.197622,-1.3885,0.124993,1.7481,0.655635,1,0.67
1.78861,0.570406,-0.466322,0.233348,2.56208,0.233871,1,0.67
1.65202,0.717993,0.100654,-0.0661037,2.59508,0.303069,0,1
1.41798,0.699862,0.885728,0.0429512,2.014,0.594949,0,1
0.960304,0.642292,0.67423,0.203838,1.36261,0.409229,0,1
0.520963,0.293474,1.79112,0.695868,1.7965,0.975626,0,1
1.17491,0.364144,0.5522,0.48431,1.71285,0.486333,0,1
1.08709,0.593318,-0.188459,0.678172,1.67982,0.788198,1,0.67
0.74409,0.561717,-0.914981,0.522985,1.24651,0.883868,1,0.67
0.260507,0.418786,-0.423045,0.433371,0.424214,0.655643,1,1
1.3969,0.111659,-1.05873,-0.0820117,1.73642,0.733281,1,0.67
1.87972,0.500519,0.67199,0.352908,2.60452,0.354336,0,1
1.59974,0.711015,1.19786,0.166817,2.55109,0.349657,0,1
1.24733,0.66867,1.66022,0.352948,2.08125,0.614574,0,1
0.825153,0.573278,1.12981,0.393024,1.30222,0.44701,0,1
0.799058,0.259061,1.60603,0.875817,1.79592,0.96019,0,1
1.34806,0.518467,-0.229298,0.342479,1.83801,0.448623,1,0.67
1.05895,0.73447,-0.7595,0.37951,1.77577,0.774847,1,0.67
0.573516,0.730913,-1.0329,0.150558,1.19882,0.912065,1,0.67
0.184608,0.588936,-0.391343,0.15161,0.404957,0.633548,1,1
1.30546,0.0630294,-0.439531,-0.376957,1.43861,0.793986,1,0.67
1.84592,0.351873,1.69861,0.32086,2.6624,0.346679,0,1
1.43505,0.54479,2.1193,0.335105,2.60372,0.40074,0,1
0.997426,0.559777,1.91184,0.527648,1.96496,0.618511,0,1
0.6568,0.404944,1.32771,0.491875,1.33716,0.491878,0,1
0.840749,0.3547,1.17664,0.940101,1.64913,0.941411,0,1
1.35247,0.622553,-0.927801,0.1754,1.91287,0.501724,1,0.67
0.906529,0.78645,-1.41602,0.0580725,1.81964,0.845645,1,0.67
0.446547,0.84011,-1.06492,-0.220176,1.07831,0.939507,1,0.67
0.0871396,0.644355,-0.248951,-0.126494,0.261074,0.640787,1,1
1.11993,0.177492,0.238866,-0.601012,1.19698,0.815604,0,1
1.5817,0.144501,2.35527,0.193561,2.63638,0.269523,0,1
1.20273,0.351021,2.5304,0.370721,2.59269,0.385743,0,1
0.868459,0.377705,1.98088,0.583856,2.0106,0.586044,0,1
0.558486,0.292475,1.25716,0.431842,1.29763,0.470121,0,1
0.808036,0.483135,0.504891,0.819539,1.472,0.881963,1,0.67
1.18455,0.638684,-1.50501,-0.0535908,1.93558,0.591179,1,0.67
0.742389,0.743018,-1.71581,-0.318149,1.82834,0.897917,1,0.67
0.384993,0.83591,-1.05518,-0.563208,1.07037,0.943092,1,0.67
0.0737224,0.636951,-0.265629,-0.386479,0.268388,0.647418,0,0.67
0.893134,0.271804,0.799939,-0.70322,1.16329,0.758702,0,1
1.29976,0.205675,2.5978,0.077775,2.6064,0.220002,0,1
1.08227,0.337471,2.6009,0.394324,2.65046,0.396009,0,1
0.902825,0.332293,1.73001,0.574215,2.1118,0.61015,0,1
0.621553,0.378944,1.02239,0.322831,1.33491,0.479934,0,1
0.673837,0.563831,-0.156831,0.571509,1.41695,0.832992,1,0.67
0.922872,0.535316,-1.86807,-0.252293,1.96401,0.634134,1,0.67
0.604221,0.58644,-1.7861,-0.612604,1.78745,0.908068,1,0.67
0.442824,0.700319,-0.887103,-0.773986,1.04088,0.895876,1,0.67
0.0812725,0.510101,-0.197428,-0.520677,0.208876,0.605525,0,0.67
0.75709,0.286009,1.18271,-0.641744,1.23686,0.641861,0,1
1.14579,0.403936,2.42968,0.0127065,2.58758,0.191562,0,1
1.204,0.540076,2.10562,0.371485,2.64284,0.417606,0,1
1.13197,0.479347,1.00282,0.462841,2.15853,0.651993,0,1
0.818485,0.566382,0.492839,0.153503,1.363,0.495066,0,1
0.550544,0.595718,-0.925225,0.187199,1.5407,0.817227,1,0.67
0.72812,0.399217,-1.95203,-0.448095,1.95274,0.652653,1,0.67
0.66907,0.437881,-1.58378,-0.834158,1.76914,0.917793,1,0.67
0.572841,0.528814,-0.465079,-0.874434,0.992466,0.875896,0,1
0.122217,0.368505,-0.0600838,-0.568787,0.17291,0.570293,0,0.67
0.870209,0.281341,1.32854,-0.521316,1.34456,0.610921,0,1
1.3078,0.54214,1.73854,-0.122063,2.46305,0.18386,0,1
1.44742,0.729095,1.20614,0.220864,2.59874,0.38189,0,1
1.34804,0.645395,0.0784602,0.203945,2.15253,0.635503,1,0.67
0.979211,0.683507,-0.0992868,-0.0897082,1.38718,0.490217,1,0.67
0.363903,0.513688,-1.46574,-0.265859,1.66423,0.85579,1,0.67
0.720237,0.273011,-1.62275,-0.572521,1.78601,0.628526,1,0.67
0.822787,0.438293,-1.06583,-0.91229,1.68075,0.912299,1,0.67
0.636056,0.478315,-0.0265034,-0.839938,0.992394,0.916532,0,1
0.148805,0.344605,-0.005463,-0.580125,0.232085,0.627979,0,0.67
1.05813,0.211296,1.24447,-0.298806,1.41445,0.653914,0,1
1.61036,0.582804,0.689729,-0.230776,2.42818,0.236518,0,1
1.63825,0.804981,0.0678431,0.0616325,2.57114,0.354733,0,1
1.45551,0.734113,-0.824762,-0.0371853,2.19274,0.637748,1,0.67
1.02329,0.710566,-0.730504,-0.257,1.4383,0.485511,1,0.67
0.432447,0.392614,-1.8601,-0.61273,1.86926,0.937471,1,0.67
0.976736,0.319505,-1.0877,-0.547204,1.73727,0.547512,1,0.67
0.982888,0.596794,-0.385409,-0.788567,1.64874,0.871494,0,1
0.681116,0.591855,0.400554,-0.599283,1.03414,0.918851,0,1
0.143856,0.453303,0.0446918,-0.432106,0.226496,0.645429,0,0.67
1.23426,0.0989857,0.94678,0.012003,1.38708,0.7453,0,1
1.80919,0.5156,-0.374474,-0.273122,2.47951,0.276063,1,0.67
1.68322,0.765994,-1.01435,-0.0890782,2.62105,0.355482,1,0.67
1.36385,0.725954,-1.61033,-0.281642,2.22051,0.648692,1,0.67
0.943209,0.638176,-1.18305,-0.391955,1.4509,0.482738,1,0.67
0.610948,0.297613,-1.86691,-0.872271,1.92426,1.00101,1,0.67
1.19834,0.47197,-0.29624,-0.448969,1.74581,0.504974,0,1
0.99026,0.739563,0.324782,-0.566958,1.65138,0.880556,0,1
0.601823,0.760972,0.774989,-0.281712,1.06917,0.972444,0,0.67
0.111464,0.591016,0.155861,-0.226739,0.235743,0.683635,0,0.67
1.28365,0.0763516,0.513071,0.288309,1.31014,0.830603,0,1
1.85122,0.379004,-1.42105,-0.283484,2.6008,0.310041,1,0.67
1.54507,0.632826,-1.94028,-0.258531,2.64461,0.382612,1,0.67
1.15969,0.632447,-2.10549,-0.497098,2.22821,0.654999,1,0.67
0.785011,0.497068,-1.40827,-0.459578,1.44078,0.471045,1,0.67
0.747067,0.316586,-1.57748,-0.992907,1.87285,1.0072,1,0.67
1.31579,0.599638,0.499315,-0.261334,1.84334,0.51306,0,1
0.93801,0.836207,1.00356,-0.19988,1.7033,0.887203,0,1
0.461742,0.880289,1.00499,0.135475,1.08057,1.00298,0,0.67
0.0685217,0.680946,0.173428,0.053061,0.213139,0.685154,0,0.67
1.18185,0.175586,-0.0650436,0.56962,1.15008,0.871165,1,0.67
1.6776,0.188042,-2.29319,-0.222795,2.72006,0.280492,1,0.67
1.30642,0.424867,-2.54703,-0.350886,2.67612,0.390623,1,0.67
0.953516,0.45638,-2.22303,-0.60936,2.23237,0.638537,1,0.67
0.65962,0.345796,-1.42526,-0.450218,1.46312,0.4588,1,0.67
0.816586,0.435501,-0.992784,-0.911855,1.72686,0.928524,1,0.67
1.24668,0.644361,1.21128,-0.0322295,1.9255,0.566791,0,1
0.769215,0.816721,1.47248,0.192925,1.70515,0.915303,0,0.67
0.332085,0.885767,1.04847,0.51558,1.0487,1.0085,0,0.67
0.0373522,0.676258,0.123338,0.309742,0.129209,0.670762,1,1
0.975006,0.270173,-0.628316,0.731408,1.06929,0.843834,1,0.67
1.38472,0.159863,-2.70774,-0.118982,2.75325,0.218744,1,0.67
1.12869,0.323817,-2.6617,-0.376489,2.67525,0.377752,1,0.67
0.940838,0.335919,-1.9539,-0.613078,2.24214,0.617106,1,0.67
0.690579,0.347241,-1.14142,-0.342944,1.44121,0.438264,1,0.67
0.791675,0.541103,-0.242265,-0.688383,1.57218,0.834829,0,1
1.06527,0.594825,1.72425,0.201752,1.9817,0.615482,0,1
0.59989,0.68833,1.69188,0.537358,1.70689,0.921548,0,0.67
0.320405,0.785332,0.90684,0.798741,0.991361,0.981778,0,0.67
0.0762097,0.570715,0.127696,0.520803,0.130519,0.650859,1,1
0.798533,0.300816,-1.06651,0.747778,1.15798,0.753221,1,0.67
1.17988,0.332275,-2.62532,-0.00433534,2.68629,0.146835,1,0.67
1.17988,0.454667,-2.2944,-0.337003,2.65476,0.351878,1,0.67
1.10845,0.401944,-1.31702,-0.504361,2.21933,0.595333,1,0.67
0.820328,0.481197,-0.664873,-0.193599,1.42802,0.439151,1,0.67
0.63469,0.576527,0.567088,-0.332266,1.55331,0.775783,0,1
0.793652,0.456281,1.94066,0.403281,1.96139,0.647001,0,1
0.573538,0.50977,1.65261,0.811219,1.71858,0.94788,0,1
0.479007,0.603534,0.644326,0.934774,0.98165,0.953369,1,0.67
0.131107,0.430056,0.103352,0.633481,0.151309,0.645393,1,1
0.795308,0.277635,-1.29822,0.628506,1.29879,0.677198,1,0.67
1.2415,0.482547,-2.04526,0.10787,2.53438,0.14596,1,0.67
1.39484,0.6479,-1.5168,-0.251216,2.62742,0.338539,1,0.67
1.30494,0.553084,-0.408198,-0.297652,2.20588,0.596015,1,0.67
0.952455,0.616817,-0.080495,-0.0114517,1.44256,0.4545,1,0.67
0.442327,0.537575,1.30226,0.0900566,1.6765,0.811187,0,0.67
0.683385,0.297697,1.78308,0.521736,1.8482,0.61679,0,1
0.728765,0.418719,1.31761,0.920174,1.69312,0.929526,0,1
0.61082,0.489138,0.255945,0.902532,0.98288,0.9325,1,0.67
0.165913,0.355693,0.0728577,0.632431,0.185865,0.654915,1,1
0.964526,0.206753,-1.32032,0.386611,1.41668,0.674328,1,0.67
1.53713,0.553894,-1.11375,0.197845,2.46159,0.199955,1,0.67
1.6116,0.767781,-0.455413,-0.117819,2.61757,0.33186,1,0.67
1.43561,0.681925,0.523284,-0.0570065,2.22293,0.616526,0,1
1.02194,0.687828,0.53066,0.180293,1.45692,0.465978,0,1
0.374979,0.445331,1.75022,0.48133,1.81383,0.904441,0,0.67
0.841501,0.268573,1.33328,0.559483,1.76241,0.569374,0,1
0.87491,0.518492,0.714635,0.866056,1.63427,0.900402,1,0.67
0.639274,0.541688,-0.176355,0.718398,0.994115,0.942553,1,0.67
0.13835,0.427036,0.00181476,0.504888,0.186128,0.661185,1,1
1.19473,0.134955,-1.103,0.0807243,1.436,0.740125,1,0.67
1.83108,0.552106,0.0192213,0.252913,2.49658,0.25629,1,0.67
1.72676,0.792813,0.693435,0.0424575,2.6548,0.342929,0,1
1.42065,0.730822,1.38345,0.206044,2.25697,0.649521,0,1
0.986658,0.6669,1.01471,0.330088,1.44517,0.467711,0,1
0.489955,0.332552,1.91069,0.790289,1.92039,0.977335,0,1
1.08205,0.396791,0.642683,0.505996,1.72865,0.526776,0,1
0.972158,0.689912,0.0041616,0.660222,1.62741,0.880281,1,0.67
0.618568,0.720441,-0.546685,0.407895,0.997258,0.970803,1,0.67
0.134779,0.580103,-0.0625557,0.285372,0.211276,0.677622,1,1
1.28511,0.069442,-0.672524,-0.240795,1.35308,0.836391,1,0.67
1.89606,0.431657,1.1355,0.254052,2.57574,0.275517,0,1
1.6207,0.676042,1.71946,0.194326,2.69273,0.368405,0,1
1.23844,0.65639,1.95876,0.412901,2.22812,0.643127,0,1
0.839187,0.544135,1.36498,0.434606,1.45992,0.468484,0,1
